ts,event_name,task_id,meta_json
2025-12-23T13:06:27.440Z,task_edited,T-2002,"{""status"": ""Todo"", ""due_date"": ""2025-11-02"", ""impact"": 2, ""story_points"": 5, ""has_deps"": false}"
2025-12-23T13:06:27.438Z,task_edited,T-1000,"{""status"": ""In Progress"", ""due_date"": ""2025-10-31"", ""impact"": 4, ""story_points"": 7, ""has_deps"": false}"
2025-12-23T13:06:27.438Z,task_edited,T-MGRP0A2O,"{""status"": ""Todo"", ""due_date"": ""2025-10-16"", ""impact"": 4, ""story_points"": 4, ""has_deps"": false}"
2025-12-23T13:06:27.440Z,task_edited,T-MJ57QQXE,"{""status"": ""Todo"", ""due_date"": ""2025-12-25"", ""impact"": 3, ""story_points"": 8, ""has_deps"": false}"
2025-12-23T13:06:27.439Z,task_edited,T-3002,"{""status"": ""Todo"", ""due_date"": ""2025-11-01"", ""impact"": 3, ""story_points"": 6, ""has_deps"": false}"
2025-12-23T13:06:27.440Z,task_edited,T-MJILF7F1,"{""status"": ""Todo"", ""due_date"": ""2025-12-26"", ""impact"": 8, ""story_points"": 6, ""has_deps"": false}"
2025-12-23T13:06:27.442Z,task_saved_done,T-2001,"{""status"": ""Done""}"
2025-12-23T13:06:27.442Z,task_edited,T-3001,"{""status"": ""Done"", ""due_date"": ""2025-10-28"", ""impact"": 2, ""story_points"": 4, ""has_deps"": false}"
2025-12-23T13:06:27.441Z,task_edited,T-2001,"{""status"": ""Done"", ""due_date"": ""2025-10-30"", ""impact"": 3, ""story_points"": 5, ""has_deps"": false}"
2025-12-23T13:06:27.441Z,task_edited,T-MJILFCQN,"{""status"": ""Todo"", ""due_date"": """", ""impact"": 3, ""story_points"": 1, ""has_deps"": false}"
2025-12-23T13:06:27.442Z,task_saved_done,T-3001,"{""status"": ""Done""}"
